ID	E	S	kd	cinh
55	12055	0.5	0.00025	0
43	12055	0.5	0.00025	0
56	12465	0.5	0.00025	0
55	12055	0.5	0.00025	0
43	12055	0.5	0.00025	0
56	12465	0.5	0.00025	0
55	12055	0.5	0.00025	0
43	12055	0.5	0.00025	0
56	12465	0.5	0.00025	0
55	12055	0.5	0.00025	0
43	12055	0.5	0.00025	0
56	12465	0.5	0.00025	0
55	12055	0.5	0.00025	0
43	12055	0.5	0.00025	0
56	12465	0.5	0.00025	0
55	12055	0.5	0.00025	0
43	12055	0.5	0.00025	0
56	12465	0.5	0.00025	0
55	12055	0.5	0.00025	0
43	12055	0.5	0.00025	0
56	12465	0.5	0.00025	0
55	12055	0.5	0.00025	0
43	12055	0.5	0.00025	0
56	12465	0.5	0.00025	0
55	12055	0.5	0.00025	0
43	12055	0.5	0.00025	0
56	12465	0.5	0.00025	0
