ID E S cinh kd 
601 15514 0.5 60 0.00025 
602 14853 0.5 60 0.00025 
603 15012 0.5 60 0.00025 
604 15140 0.5 60 0.00025 
605 15294 0.5 60 0.00025 
606 15436 0.5 60 0.00025 
607 15307 0.5 60 0.00025 
608 15428 0.5 60 0.00025 
609 15366 0.5 60 0.00025 
610 14788 0.5 60 0.00025 
611 14930 0.5 60 0.00025 
612 14832 0.5 60 0.00025 
613 14910 0.5 60 0.00025 
614 15059 0.5 60 0.00025 
601 15514 0.5 60 0.00025 
602 14853 0.5 60 0.00025 
603 15012 0.5 60 0.00025 
604 15140 0.5 60 0.00025 
605 15294 0.5 60 0.00025 
606 15436 0.5 60 0.00025 
607 15307 0.5 60 0.00025 
608 15428 0.5 60 0.00025 
609 15366 0.5 60 0.00025 
610 14788 0.5 60 0.00025 
611 14930 0.5 60 0.00025 
612 14832 0.5 60 0.00025 
613 14910 0.5 60 0.00025 
614 15059 0.5 60 0.00025 
601 15514 0.5 60 0.00025 
602 14853 0.5 60 0.00025 
603 15012 0.5 60 0.00025 
604 15140 0.5 60 0.00025 
605 15294 0.5 60 0.00025 
606 15436 0.5 60 0.00025 
607 15307 0.5 60 0.00025 
608 15428 0.5 60 0.00025 
609 15366 0.5 60 0.00025 
610 14788 0.5 60 0.00025 
611 14930 0.5 60 0.00025 
612 14832 0.5 60 0.00025 
613 14910 0.5 60 0.00025 
614 15059 0.5 60 0.00025 
601 15514 0.5 60 0.00025 
602 14853 0.5 60 0.00025 
603 15012 0.5 60 0.00025 
604 15140 0.5 60 0.00025 
606 15436 0.5 60 0.00025 
607 15307 0.5 60 0.00025 
608 15428 0.5 60 0.00025 
609 15366 0.5 60 0.00025 
610 14788 0.5 60 0.00025 
611 14930 0.5 60 0.00025 
612 14832 0.5 60 0.00025 
601 15064 0.5 60 0.00025 
602 14853 0.5 60 0.00025 
603 15012 0.5 60 0.00025 
604 15140 0.5 60 0.00025 
606 15436 0.5 60 0.00025 
607 15307 0.5 60 0.00025 
608 15428 0.5 60 0.00025 
609 14916 0.5 60 0.00025 
610 14788 0.5 60 0.00025 
611 14930 0.5 60 0.00025 
612 14832 0.5 60 0.00025 
613 14910 0.5 60 0.00025 
614 15509 0.5 60 0.00025
