Chl	E	S	cinh	kd
601	15415	0.5	60	0.00025
602	14850	0.5	60	0.00025
603	14860	0.5	60	0.00025
604	14920	0.5	60	0.00025
605	15555	0.5	60	0.00025
606	15395	0.5	60	0.00025
607	15305	0.5	60	0.00025
608	15175	0.5	60	0.00025
609	15635	0.5	60	0.00025
610	14780	0.5	60	0.00025
611	14930	0.5	60	0.00025
612	14960	0.5	60	0.00025
613	14870	0.5	60	0.00025
614	14980	0.5	60	0.00025
601	15415	0.5	60	0.00025
602	14850	0.5	60	0.00025
603	14860	0.5	60	0.00025
604	14920	0.5	60	0.00025
605	15555	0.5	60	0.00025
606	15395	0.5	60	0.00025
607	15305	0.5	60	0.00025
608	15175	0.5	60	0.00025
609	15635	0.5	60	0.00025
610	14780	0.5	60	0.00025
611	14930	0.5	60	0.00025
612	14960	0.5	60	0.00025
613	14870	0.5	60	0.00025
614	14980	0.5	60	0.00025
601	15415	0.5	60	0.00025
602	14850	0.5	60	0.00025
603	14860	0.5	60	0.00025
604	14920	0.5	60	0.00025
605	15555	0.5	60	0.00025
606	15395	0.5	60	0.00025
607	15305	0.5	60	0.00025
608	15175	0.5	60	0.00025
609	15635	0.5	60	0.00025
610	14780	0.5	60	0.00025
611	14930	0.5	60	0.00025
612	14960	0.5	60	0.00025
613	14870	0.5	60	0.00025
614	14980	0.5	60	0.00025
601	15415	0.5	60	0.00025
602	14850	0.5	60	0.00025
603	14860	0.5	60	0.00025
604	14920	0.5	60	0.00025
606	15395	0.5	60	0.00025
607	15305	0.5	60	0.00025
608	15175	0.5	60	0.00025
609	15635	0.5	60	0.00025
610	14780	0.5	60	0.00025
611	14930	0.5	60	0.00025
612	14960	0.5	60	0.00025
601	14860	0.5	60	0.00025
602	14850	0.5	60	0.00025
603	14860	0.5	60	0.00025
604	14920	0.5	60	0.00025
606	15395	0.5	60	0.00025
607	15305	0.5	60	0.00025
608	15175	0.5	60	0.00025
609	15080	0.5	60	0.00025
610	14780	0.5	60	0.00025
611	14930	0.5	60	0.00025
612	14960	0.5	60	0.00025
613	14870	0.5	60	0.00025
614	15535	0.5	60	0.00025
