ID	E	S	cinh	kd	Eshift
601	15405	0.5	60	0.00025	
602	14940	0.5	60	0.00025	
603	14850	0.5	60	0.00025	
604	14820	0.5	60	0.00025	
605	15465	0.5	60	0.00025	
606	15385	0.5	60	0.00025	
607	15225	0.5	60	0.00025	
608	15215	0.5	60	0.00025	
609	15475	0.5	60	0.00025	
610	14790	0.5	60	0.00025	
611	14950	0.5	60	0.00025	
612	14940	0.5	60	0.00025	
613	14840	0.5	60	0.00025	
614	14940	0.5	60	0.00025	
601	15405	0.5	60	0.00025	
602	14940	0.5	60	0.00025	
603	14850	0.5	60	0.00025	
604	14820	0.5	60	0.00025	
605	15465	0.5	60	0.00025	
606	15385	0.5	60	0.00025	
607	15225	0.5	60	0.00025	
608	15215	0.5	60	0.00025	
609	15475	0.5	60	0.00025	
610	14790	0.5	60	0.00025	
611	14950	0.5	60	0.00025	
612	14940	0.5	60	0.00025	
613	14840	0.5	60	0.00025	
614	14940	0.5	60	0.00025	
601	15405	0.5	60	0.00025	
602	14940	0.5	60	0.00025	
603	14850	0.5	60	0.00025	
604	14820	0.5	60	0.00025	
605	15465	0.5	60	0.00025	
606	15385	0.5	60	0.00025	
607	15225	0.5	60	0.00025	
608	15215	0.5	60	0.00025	
609	15475	0.5	60	0.00025	
610	14790	0.5	60	0.00025	
611	14950	0.5	60	0.00025	
612	14940	0.5	60	0.00025	
613	14840	0.5	60	0.00025	
614	14940	0.5	60	0.00025	
601	15405	0.5	60	0.00025	
602	14940	0.5	60	0.00025	
603	14850	0.5	60	0.00025	
604	14820	0.5	60	0.00025	
606	15385	0.5	60	0.00025	
607	15225	0.5	60	0.00025	
608	15215	0.5	60	0.00025	
609	15475	0.5	60	0.00025	
610	14790	0.5	60	0.00025	
611	14950	0.5	60	0.00025	
612	14940	0.5	60	0.00025	
601	14927	0.5	60	0.00025	
602	14940	0.5	60	0.00025	
603	14850	0.5	60	0.00025	
604	14820	0.5	60	0.00025	
606	15385	0.5	60	0.00025	
607	15225	0.5	60	0.00025	
608	15215	0.5	60	0.00025	
609	14997	0.5	60	0.00025	
610	14790	0.5	60	0.00025	
611	14950	0.5	60	0.00025	
612	14940	0.5	60	0.00025	
613	14840	0.5	60	0.00025	
614	15418	0.5	60	0.00025	
