ID E S cinh kd Eshift
601 15544 0.5 60 0.00025 15255
602 14883 0.5 60 0.00025 14790
603 15042 0.5 60 0.00025 14700
604 15170 0.5 60 0.00025 14670
605 15324 0.5 60 0.00025 15315
606 15466 0.5 60 0.00025 15235
607 15337 0.5 60 0.00025 15075
608 15458 0.5 60 0.00025 15065
609 15396 0.5 60 0.00025 15325
610 14818 0.5 60 0.00025 14640
611 14960 0.5 60 0.00025 14800
612 14862 0.5 60 0.00025 14790
613 14940 0.5 60 0.00025 14690
614 15089 0.5 60 0.00025 14790
601 15544 0.5 60 0.00025 15255
602 14883 0.5 60 0.00025 14790
603 15042 0.5 60 0.00025 14700
604 15170 0.5 60 0.00025 14670
605 15324 0.5 60 0.00025 15315
606 15466 0.5 60 0.00025 15235
607 15337 0.5 60 0.00025 15075
608 15458 0.5 60 0.00025 15065
609 15396 0.5 60 0.00025 15325
610 14818 0.5 60 0.00025 14640
611 14960 0.5 60 0.00025 14800
612 14862 0.5 60 0.00025 14790
613 14940 0.5 60 0.00025 14690
614 15089 0.5 60 0.00025 14790
601 15544 0.5 60 0.00025 15255
602 14883 0.5 60 0.00025 14790
603 15042 0.5 60 0.00025 14700
604 15170 0.5 60 0.00025 14670
605 15324 0.5 60 0.00025 15315
606 15466 0.5 60 0.00025 15235
607 15337 0.5 60 0.00025 15075
608 15458 0.5 60 0.00025 15065
609 15396 0.5 60 0.00025 15325
610 14818 0.5 60 0.00025 14640
611 14960 0.5 60 0.00025 14800
612 14862 0.5 60 0.00025 14790
613 14940 0.5 60 0.00025 14690
614 15089 0.5 60 0.00025 14790
