ID	E	S	cinh	kd	Eshift
601	15464	0.5	60	0.00025	15255
602	14803	0.5	60	0.00025	14790
603	14962	0.5	60	0.00025	14700
604	15090	0.5	60	0.00025	14670
605	15244	0.5	60	0.00025	15315
606	15386	0.5	60	0.00025	15235
607	15257	0.5	60	0.00025	15075
608	15378	0.5	60	0.00025	15065
609	15316	0.5	60	0.00025	15325
610	14738	0.5	60	0.00025	14640
611	14880	0.5	60	0.00025	14800
612	14782	0.5	60	0.00025	14790
613	14860	0.5	60	0.00025	14690
614	15009	0.5	60	0.00025	14790
601	15464	0.5	60	0.00025	15255
602	14803	0.5	60	0.00025	14790
603	14962	0.5	60	0.00025	14700
604	15090	0.5	60	0.00025	14670
605	15244	0.5	60	0.00025	15315
606	15386	0.5	60	0.00025	15235
607	15257	0.5	60	0.00025	15075
608	15378	0.5	60	0.00025	15065
609	15316	0.5	60	0.00025	15325
610	14738	0.5	60	0.00025	14640
611	14880	0.5	60	0.00025	14800
612	14782	0.5	60	0.00025	14790
613	14860	0.5	60	0.00025	14690
614	15009	0.5	60	0.00025	14790
601	15464	0.5	60	0.00025	15255
602	14803	0.5	60	0.00025	14790
603	14962	0.5	60	0.00025	14700
604	15090	0.5	60	0.00025	14670
605	15244	0.5	60	0.00025	15315
606	15386	0.5	60	0.00025	15235
607	15257	0.5	60	0.00025	15075
608	15378	0.5	60	0.00025	15065
609	15316	0.5	60	0.00025	15325
610	14738	0.5	60	0.00025	14640
611	14880	0.5	60	0.00025	14800
612	14782	0.5	60	0.00025	14790
613	14860	0.5	60	0.00025	14690
614	15009	0.5	60	0.00025	14790
