ID	E	S	cinh	kd	Eshift
601	15589	0.5	60	0.00025	15255
602	14857	0.5	60	0.00025	14790
603	14987	0.5	60	0.00025	14700
604	15160	0.5	60	0.00025	14670
605	15379	0.5	60	0.00025	15315
606	15550	0.5	60	0.00025	15235
607	15414	0.5	60	0.00025	15075
608	15461	0.5	60	0.00025	15065
609	15421	0.5	60	0.00025	15325
610	14773	0.5	60	0.00025	14640
611	14812	0.5	60	0.00025	14800
612	14794	0.5	60	0.00025	14790
613	14874	0.5	60	0.00025	14690
614	14960	0.5	60	0.00025	14790
601	15589	0.5	60	0.00025	15255
602	14857	0.5	60	0.00025	14790
603	14987	0.5	60	0.00025	14700
604	15160	0.5	60	0.00025	14670
605	15379	0.5	60	0.00025	15315
606	15550	0.5	60	0.00025	15235
607	15414	0.5	60	0.00025	15075
608	15461	0.5	60	0.00025	15065
609	15421	0.5	60	0.00025	15325
610	14773	0.5	60	0.00025	14640
611	14812	0.5	60	0.00025	14800
612	14794	0.5	60	0.00025	14790
613	14874	0.5	60	0.00025	14690
614	14960	0.5	60	0.00025	14790
601	15589	0.5	60	0.00025	15255
602	14857	0.5	60	0.00025	14790
603	14987	0.5	60	0.00025	14700
604	15160	0.5	60	0.00025	14670
605	15379	0.5	60	0.00025	15315
606	15550	0.5	60	0.00025	15235
607	15414	0.5	60	0.00025	15075
608	15461	0.5	60	0.00025	15065
609	15421	0.5	60	0.00025	15325
610	14773	0.5	60	0.00025	14640
611	14812	0.5	60	0.00025	14800
612	14794	0.5	60	0.00025	14790
613	14874	0.5	60	0.00025	14690
614	14960	0.5	60	0.00025	14790
