Chl	E	S	cinh	kd
601	15491	0.5	80	0.00025
602	14858	0.5	80	0.00025
603	15004	0.5	80	0.00025
604	15072	0.5	80	0.00025
605	15324	0.5	80	0.00025
606	15261	0.5	80	0.00025
607	15303	0.5	80	0.00025
608	15224	0.5	80	0.00025
609	15418	0.5	80	0.00025
610	14857	0.5	80	0.00025
611	14998	0.5	80	0.00025
612	15067	0.5	80	0.00025
613	14974	0.5	80	0.00025
614	15075	0.5	80	0.00025
601	15491	0.5	80	0.00025
602	14858	0.5	80	0.00025
603	15004	0.5	80	0.00025
604	15072	0.5	80	0.00025
605	15324	0.5	80	0.00025
606	15261	0.5	80	0.00025
607	15303	0.5	80	0.00025
608	15224	0.5	80	0.00025
609	15418	0.5	80	0.00025
610	14857	0.5	80	0.00025
611	14998	0.5	80	0.00025
612	15067	0.5	80	0.00025
613	14974	0.5	80	0.00025
614	15075	0.5	80	0.00025
601	15491	0.5	80	0.00025
602	14858	0.5	80	0.00025
603	15004	0.5	80	0.00025
604	15072	0.5	80	0.00025
605	15324	0.5	80	0.00025
606	15261	0.5	80	0.00025
607	15303	0.5	80	0.00025
608	15224	0.5	80	0.00025
609	15418	0.5	80	0.00025
610	14857	0.5	80	0.00025
611	14998	0.5	80	0.00025
612	15067	0.5	80	0.00025
613	14974	0.5	80	0.00025
614	15075	0.5	80	0.00025
