ID	E	S	cinh	kd	Eshift
501	14858.84101	0.6	75	0.00025	14658.84101
502	15026.29602	0.6	75	0.00025	14826.29602
503	15015.01502	0.6	75	0.00025	14815.01502
504	14749.26254	0.6	75	0.00025	14549.26254
505	14792.89941	0.6	75	0.00025	14592.89941
506	14958.86313	0.6	75	0.00025	14758.86313
507	14847.80995	0.6	45	0.00025	14647.80995
508	14970.05988	0.6	75	0.00025	14770.05988
509	14662.7566	0.6	45	0.00025	14462.7566
510	15337.42331	0.6	75	0.00025	15137.42331
511	14760.1476	0.6	75	0.00025	14560.1476
512	14858.84101	0.6	75	0.00025	14658.84101
513	15082.95626	0.6	75	0.00025	14882.95626
601	15405	0.5	60	0.00025	15255
602	14940	0.5	60	0.00025	14790
603	14850	0.5	60	0.00025	14700
604	14820	0.5	60	0.00025	14670
605	15465	0.5	60	0.00025	15315
606	15385	0.5	60	0.00025	15235
607	15225	0.5	60	0.00025	15075
608	15215	0.5	60	0.00025	15065
609	15475	0.5	60	0.00025	15325
610	14790	0.5	60	0.00025	14640
611	14950	0.5	60	0.00025	14800
612	14940	0.5	60	0.00025	14790
613	14840	0.5	60	0.00025	14690
614	14940	0.5	60	0.00025	14790
601	15405	0.5	60	0.00025	15255
602	14940	0.5	60	0.00025	14790
603	14850	0.5	60	0.00025	14700
604	14820	0.5	60	0.00025	14670
605	15465	0.5	60	0.00025	15315
606	15385	0.5	60	0.00025	15235
607	15225	0.5	60	0.00025	15075
608	15215	0.5	60	0.00025	15065
609	15475	0.5	60	0.00025	15325
610	14790	0.5	60	0.00025	14640
611	14950	0.5	60	0.00025	14800
612	14940	0.5	60	0.00025	14790
613	14840	0.5	60	0.00025	14690
614	14940	0.5	60	0.00025	14790
601	15405	0.5	60	0.00025	15255
602	14940	0.5	60	0.00025	14790
603	14850	0.5	60	0.00025	14700
604	14820	0.5	60	0.00025	14670
606	15385	0.5	60	0.00025	15235
607	15225	0.5	60	0.00025	15075
608	15215	0.5	60	0.00025	15065
609	14990	0.5	60	0.00025	14840
610	14790	0.5	60	0.00025	14640
611	14950	0.5	60	0.00025	14800
612	14940	0.5	60	0.00025	14790
613	14840	0.5	60	0.00025	14690
614	14940	0.5	60	0.00025	14790
601	15405	0.5	60	0.00025	15255
602	14940	0.5	60	0.00025	14790
603	14850	0.5	60	0.00025	14700
604	14820	0.5	60	0.00025	14670
605	15465	0.5	60	0.00025	15315
606	15385	0.5	60	0.00025	15235
607	15225	0.5	60	0.00025	15075
608	15215	0.5	60	0.00025	15065
609	15475	0.5	60	0.00025	15325
610	14790	0.5	60	0.00025	14640
611	14950	0.5	60	0.00025	14800
612	14940	0.5	60	0.00025	14790
613	14840	0.5	60	0.00025	14690
614	14940	0.5	60	0.00025	14790
